,followers_count_author,following_count_author,tweet_count_author,average_like_count,average_reply_count,avg_retweet_count,nr_tweets,nr_retweets,nr_replies,account_age,NT+nt,NT+rp,NT+rt,NT+tw,RP+nt,RP+rp,RP+rt,RP+tw,RT+nt,RT+rp,RT+rt,RT+tw,nr_mentions,nr_hashtags,nr_urls,nr_longwords,nr_pos,degree_in,degree_out,eigen_left,betweenness
0,29,222,2291,0.6363636363636364,0.0,1134.3030303030303,5,28,0,1609,0.0,0.61090255,5.24676916,-4.03460055,-4.32380249,-3.71289994,0.92296667,-8.35840304,35.68911646,36.30001901,40.93588562,31.65451591,0.0,1.0,1.0,1.6,4.8,1,4,-3.1888618221561806e-19,0.0
1,1575,2954,4194,40.63636363636363,4.181818181818182,11.272727272727273,8,0,3,2976,0.0,0.25240751,0.97802409,2.34638268,0.32321001,0.57561753,1.30123411,2.66959269,1.48988029,1.7422878,2.46790438,3.83626296,0.36363636363636365,2.272727272727273,0.5454545454545454,9.363636363636363,24.09090909090909,6,0,0.10050591782048664,0.0
2,489,861,6352,1.6666666666666667,0.3333333333333333,0.7777777777777778,5,2,2,5225,0.0,0.28266081,0.96967885,1.67013926,1.49792979,1.7805906,2.46760864,3.16806905,-0.04015353,0.24250729,0.92952532,1.62998573,0.14285714285714285,2.857142857142857,0.8571428571428571,3.5714285714285716,5.0,1,0,0.015098576383311536,0.0
3,7330,5035,41626,6.333333333333333,0.0,139.16666666666666,0,3,3,3863,0.0,0.55401609,0.03590085,6.35444457,0.20784075,0.76185684,0.2437416,6.56228531,0.80859999,1.36261608,0.84450084,7.16304456,2.0,1.6666666666666667,1.0,3.6666666666666665,8.0,0,2,2.9659449797933386e-19,0.0
4,70,51,550,5.375,0.75,1.5,6,0,2,4168,0.0,0.94360748,0.96355232,1.34005122,0.76344031,1.70704779,1.72699263,2.10349153,3.16904251,4.11264999,4.13259483,4.50909373,0.25,8.75,0.75,12.125,25.875,0,0,9.091979182234916e-20,0.0
5,95,225,435,6.375,1.3333333333333333,6.5,10,8,6,4304,0.0,0.28607643,34.78163445,3.56866332,0.98154485,1.26762128,35.76317931,4.55020818,-45.72004473,-45.4339683,-10.93841028,-42.15138141,0.375,2.5,0.3125,7.6875,21.1875,6,0,0.05859627666950379,0.0
6,80,35,3916,2.142857142857143,0.2857142857142857,223.0,6,1,0,703,0.0,0.95903094,0.53246445,34.16026767,7.47296739,8.43199833,8.00543183,41.63323505,43.25516016,44.2141911,43.78762461,77.41542783,0.0,1.0,1.0,4.666666666666667,13.0,0,0,1.6985156669216717e-19,0.0
7,616,1022,8059,3.7,0.4,5.1,1,8,1,4581,0.0,0.83699354,0.52755409,5.44440095,0.47831988,1.31531343,1.00587397,5.92272083,-0.30533219,0.53166136,0.2222219,5.13906876,0.0,1.0,0.5,1.0,3.5,0,0,-2.6144508756381913e-19,0.0
8,4898,4546,226323,0.0,0.0,3.2857142857142856,0,7,0,4113,0.0,0.20333619,1.8225141,1.19147995,0.22860547,0.43194166,2.05111956,1.42008542,-1.40071752,-1.19738133,0.42179657,-0.20923757,0.0,0.0,0.0,0.0,0.0,0,3,3.35833154014994e-20,0.0
9,216,71,28560,0.18181818181818182,0.045454545454545456,20.818181818181817,0,72,60,1498,0.0,0.64216234,0.91879696,0.56198913,0.62371969,1.26588204,1.54251665,1.18570882,1.78699606,2.42915841,2.70579302,2.34898519,1.2166666666666666,1.3333333333333333,0.0,1.4666666666666666,1.3333333333333333,1,8,-1.048853757973383e-18,0.0
