screen_name,r,w
799,"[ 0.          0.82926601  0.25489655 -0.90959309  0.71485041  1.54411643
  0.96974696 -0.19474268  0.98850535  1.81777136  1.2434019   0.07891226
  2.47095982  3.30022583  2.72585637  1.56136672]",[ 2.47095982  0.98850535  0.71485041 -0.90959309  0.25489655  0.82926601]
304,"[  0.           0.9537769   20.53574908  25.79041223 -39.33965366
 -38.38587676 -18.80390458 -13.54924143  17.77586574  18.72964264
  38.31161482  43.56627797 -86.28056962 -85.32679272 -65.74482054
 -60.49015739]","[-86.28056962  17.77586574 -39.33965366  25.79041223  20.53574908
   0.9537769 ]"
446,"[ 0.          0.39292666  2.14594782  0.90126051  2.63455442  3.02748108
  4.78050224  3.53581493  2.41910763  2.81203429  4.56505545  3.32036814
 -1.49804216 -1.1051155   0.64790565 -0.59678165]",[-1.49804216  2.41910763  2.63455442  0.90126051  2.14594782  0.39292666]
554,"[0.         0.36628089 0.45163674 1.47008771 0.0341485  0.40042939
 0.48578524 1.50423621 0.91564432 1.28192521 1.36728106 2.38573203
 0.41416253 0.78044342 0.86579928 1.88425024]",[0.41416253 0.91564432 0.0341485  1.47008771 0.45163674 0.36628089]
668,"[ 0.          0.71509181  2.83733976 -1.57778328  0.52758142  1.24267323
  3.36492119 -1.05020186  0.41256711  1.12765892  3.24990687 -1.16521617
 -0.14997069  0.56512112  2.68736907 -1.72775397]",[-0.14997069  0.41256711  0.52758142 -1.57778328  2.83733976  0.71509181]
414,"[ 0.          0.69723428  0.61858376  0.48523778 -0.20199814  0.49523614
  0.41658562  0.28323963  0.51189811  1.20913239  1.13048187  0.99713589
  1.31259872  2.009833    1.93118247  1.79783649]",[ 1.31259872  0.51189811 -0.20199814  0.48523778  0.61858376  0.69723428]
191,"[  0.           0.55249621   0.83997419   0.56550733  -6.8674602
  -6.31496399  -6.02748601  -6.30195287 -13.75763843 -13.20514222
 -12.91766425 -13.1921311  113.83929083 114.39178705 114.67926502
 114.40479817]","[113.83929083 -13.75763843  -6.8674602    0.56550733   0.83997419
   0.55249621]"
925,"[ 0.          0.99969486  1.95428234  0.36286186  0.48775931  1.48745417
  2.44204165  0.85062117  0.80940782  1.80910268  2.76369015  1.17226968
 -0.7533214   0.24637346  1.20096094 -0.39045953]",[-0.7533214   0.80940782  0.48775931  0.36286186  1.95428234  0.99969486]
164,"[ 0.          0.67247005  1.34456773  0.43418255  0.34782035  1.0202904
  1.69238809  0.7820029   0.67707534  1.34954538  2.02164307  1.11125789
 -0.89339884 -0.22092879  0.45116889 -0.45921629]",[-0.89339884  0.67707534  0.34782035  0.43418255  1.34456773  0.67247005]
765,"[ 0.         -0.13221078  0.58631535  3.94897298  0.78190531  0.64969453
  1.36822065  4.73087828  0.21485156  0.08264078  0.8011669   4.16382454
 -2.4642645  -2.59647527 -1.87794915  1.48470848]",[-2.4642645   0.21485156  0.78190531  3.94897298  0.58631535 -0.13221078]
393,"[0.         0.79527426 0.73757385 1.62858607 0.01357526 0.80884952
 0.75114911 1.64216133 0.64812038 1.44339464 1.38569423 2.27670645
 1.03884469 1.83411895 1.77641854 2.66743076]",[1.03884469 0.64812038 0.01357526 1.62858607 0.73757385 0.79527426]
197,"[ 0.          0.11324452  0.80646685 -0.21771362  0.61065679  0.72390131
  1.41712365  0.39294318  1.22281326  1.33605778  2.02928011  1.00509964
  4.59046509  4.70370961  5.39693195  4.37275148]",[ 4.59046509  1.22281326  0.61065679 -0.21771362  0.80646685  0.11324452]
292,"[  0.           0.68220521   6.20424946  -1.13674741   0.99540393
   1.67760913   7.19965339  -0.14134348   0.23784721   0.92005241
   6.44209667  -0.8989002  -11.02746213 -10.34525693  -4.82321267
 -12.16420954]","[-11.02746213   0.23784721   0.99540393  -1.13674741   6.20424946
   0.68220521]"
452,"[ 0.          0.6374109  -0.09992999  4.66808393  1.61543052  2.25284142
  1.51550053  6.28351444  0.67833452  1.31574542  0.57840453  5.34641845
  0.2461031   0.88351401  0.14617311  4.91418703]",[ 0.2461031   0.67833452  1.61543052  4.66808393 -0.09992999  0.6374109 ]
568,"[0.         0.8830115  1.23283272 0.5211996  0.27835351 1.16136501
 1.51118623 0.79955311 0.41699625 1.30000775 1.64982897 0.93819585
 3.02457465 3.90758615 4.25740737 3.54577425]",[3.02457465 0.41699625 0.27835351 0.5211996  1.23283272 0.8830115 ]
524,"[0.         0.75043147 0.24587391 0.63904946 2.06230256 2.81273403
 2.30817647 2.70135202 0.69107535 1.44150681 0.93694925 1.3301248
 0.09346743 0.8438989  0.33934134 0.73251689]",[0.09346743 0.69107535 2.06230256 0.63904946 0.24587391 0.75043147]
496,"[ 0.          2.64366037  0.87092474 -1.58654545  3.76510583  6.4087662
  4.63603057  2.17856039  1.4960199   4.13968027  2.36694464 -0.09052555
  0.49524664  3.138907    1.36617138 -1.09129881]",[ 0.49524664  1.4960199   3.76510583 -1.58654545  0.87092474  2.64366037]
686,"[0.         0.54687381 0.199301   3.33714263 0.92274249 1.4696163
 1.12204349 4.25988511 0.85363312 1.40050694 1.05293412 4.19077575
 3.2497165  3.79659031 3.44901749 6.58685912]",[3.2497165  0.85363312 0.92274249 3.33714263 0.199301   0.54687381]
421,"[  0.           0.51733842   9.74784476   5.61766284   2.27141461
   2.78875303  12.01925936   7.88907745  -8.23204455  -7.71470612
   1.51580021  -2.61438171 -32.97459331 -32.45725489 -23.22674856
 -27.35693047]","[-32.97459331  -8.23204455   2.27141461   5.61766284   9.74784476
   0.51733842]"
687,"[  0.           0.85600511   0.09061973 -31.37566311  -4.73078013
  -3.87477502  -4.6401604  -36.10644324  -6.29324627  -5.43724116
  -6.20262654 -37.66890938  33.90018407  34.75618918  33.9908038
   2.52452095]","[ 33.90018407  -6.29324627  -4.73078013 -31.37566311   0.09061973
   0.85600511]"
851,"[0.         0.10702136 0.71318386 0.88116264 0.21150983 0.3185312
 0.92469369 1.09267247 1.15700583 1.2640272  1.8701897  2.03816848
 0.0996891  0.20671047 0.81287297 0.98085175]",[0.0996891  1.15700583 0.21150983 0.88116264 0.71318386 0.10702136]
468,"[  0.           0.270162     1.57782055   0.51948402  -2.19880538
  -1.92864338  -0.62098483  -1.67932136 -10.29007272 -10.01991072
  -8.71225217  -9.7705887    2.46635929   2.73652129   4.04417984
   2.98584331]","[  2.46635929 -10.29007272  -2.19880538   0.51948402   1.57782055
   0.270162  ]"
626,"[0.         0.9634632  0.61599182 2.21279133 0.9375765  1.9010397
 1.55356833 3.15036783 0.15380294 1.11726614 0.76979477 2.36659428
 0.12544787 1.08891106 0.74143969 2.3382392 ]",[0.12544787 0.15380294 0.9375765  2.21279133 0.61599182 0.9634632 ]
600,"[ 0.          0.12070689 36.73630803  3.60420254  0.34583169  0.46653858
 37.08213972  3.95003423  0.60047124  0.72117813 37.33677927  4.20467379
 25.91174882 26.03245571 62.64805685 29.51595137]",[25.91174882  0.60047124  0.34583169  3.60420254 36.73630803  0.12070689]
939,"[ 0.          2.29424587  0.18958165 -1.15044694  0.51273899  2.80698486
  0.70232064 -0.63770795  0.06362026  2.35786613  0.25320192 -1.08682668
 -0.21879863  2.07544724 -0.02921698 -1.36924557]",[-0.21879863  0.06362026  0.51273899 -1.15044694  0.18958165  2.29424587]
1028,"[0.         0.22662525 0.69464212 2.91674112 0.84913917 1.07576442
 1.54378129 3.76588029 1.43850553 1.66513078 2.13314765 4.35524665
 3.57614483 3.80277008 4.27078695 6.49288595]",[3.57614483 1.43850553 0.84913917 2.91674112 0.69464212 0.22662525]
157,"[ 0.          0.97616369  0.56631101 -0.29763734  0.82692287  1.80308656
  1.39323388  0.52928554  0.34164888  1.31781257  0.90795989  0.04401155
  1.38242796  2.35859165  1.94873897  1.08479062]",[ 1.38242796  0.34164888  0.82692287 -0.29763734  0.56631101  0.97616369]
489,"[ 0.          0.20147295  0.72093036  2.03101123  3.04410218  3.24557512
  3.76503254  5.07511341  1.51011696  1.71158991  2.23104733  3.54112819
 -1.32307776 -1.12160481 -0.6021474   0.70793347]",[-1.32307776  1.51011696  3.04410218  2.03101123  0.72093036  0.20147295]
594,"[0.         0.85396919 0.77933638 3.21186413 0.78111304 1.63508223
 1.56044942 3.99297717 0.01516157 0.86913076 0.79449795 3.2270257
 5.01436325 5.86833244 5.79369962 8.22622738]",[5.01436325 0.01516157 0.78111304 3.21186413 0.77933638 0.85396919]
938,"[ 0.          0.09472271  0.87920059  5.49037844  2.84302932  2.93775204
  3.72222992  8.33340776  4.33846074  4.43318345  5.21766133  9.82883917
 -0.01692952  0.07779319  0.86227107  5.47344891]",[-0.01692952  4.33846074  2.84302932  5.49037844  0.87920059  0.09472271]
1044,"[0.         1.1836428  0.50949589 0.79029635 0.26184198 1.44548478
 0.77133787 1.05213833 0.89475833 2.07840113 1.40425422 1.68505468
 0.59296923 1.77661204 1.10246512 1.38326558]",[0.59296923 0.89475833 0.26184198 0.79029635 0.50949589 1.1836428 ]
230,"[ 0.          0.38333872  0.25970221  3.75110625 -1.53895977 -1.15562105
 -1.27925756  2.21214648  0.4509895   0.83432823  0.71069172  4.20209576
  2.71735445  3.10069317  2.97705666  6.4684607 ]",[ 2.71735445  0.4509895  -1.53895977  3.75110625  0.25970221  0.38333872]
598,"[0.         0.18321537 0.13121492 0.22672823 0.06853116 0.25174653
 0.19974607 0.29525938 0.4279427  0.61115807 0.55915761 0.65467092
 2.45201394 2.63522931 2.58322886 2.67874217]",[2.45201394 0.4279427  0.06853116 0.22672823 0.13121492 0.18321537]
1005,"[0.         0.97905773 0.64333541 0.46175362 0.95899736 1.93805509
 1.60233277 1.42075098 0.93793928 1.91699701 1.58127469 1.3996929
 0.90350983 1.88256756 1.54684524 1.36526345]",[0.90350983 0.93793928 0.95899736 0.46175362 0.64333541 0.97905773]
229,"[0.         0.80594175 0.89389666 1.18513762 1.14744501 1.95338676
 2.04134167 2.33258263 0.67562102 1.48156278 1.56951768 1.86075864
 1.20402171 2.00996346 2.09791837 2.38915933]",[1.20402171 0.67562102 1.14744501 1.18513762 0.89389666 0.80594175]
