screen_name,r,w
808,"[ 0.00000000e+00  1.35996029e-01  1.24937381e+02  3.60908834e+00
  2.76109281e-02  1.63606957e-01  1.24964992e+02  3.63669927e+00
  6.69730333e-02  2.02969062e-01  1.25004354e+02  3.67606137e+00
 -1.24438786e+02 -1.24302790e+02  4.98595459e-01 -1.20829697e+02]","[-1.24438786e+02  6.69730333e-02  2.76109281e-02  3.60908834e+00
  1.24937381e+02  1.35996029e-01]"
787,"[ 0.          1.41101113  0.41354975  0.30612967 -0.57747294  0.83353819
 -0.16392319 -0.27134328  0.94108504  2.35209617  1.35463479  1.2472147
 -0.88667411  0.52433702 -0.47312436 -0.58054444]",[-0.88667411  0.94108504 -0.57747294  0.30612967  0.41354975  1.41101113]
481,"[ 0.          0.22298489  0.800147   -8.34563048  0.88770343  1.11068832
  1.68785043 -7.45792705  0.79308842  1.01607331  1.59323542 -7.55254206
 46.99196635 47.21495124 47.79211335 38.64633587]",[46.99196635  0.79308842  0.88770343 -8.34563048  0.800147    0.22298489]
677,"[0.         0.50800144 0.93189094 3.09162165 1.98135142 2.48935286
 2.91324236 5.07297307 1.51151972 2.01952116 2.44341067 4.60314137
 0.98455867 1.49256011 1.91644962 4.07618032]",[0.98455867 1.51151972 1.98135142 3.09162165 0.93189094 0.50800144]
688,"[  0.           0.08671125  22.02380349   8.56846923  -5.80776827
  -5.72105702  16.21603522   2.76070095 -13.41352999 -13.32681874
   8.6102735   -4.84506077 -65.86985118 -65.78313993 -43.84604769
 -57.30138196]","[-65.86985118 -13.41352999  -5.80776827   8.56846923  22.02380349
   0.08671125]"
803,"[ 0.          1.1989833   0.04430447  3.45114016  0.3137441   1.51272739
  0.35804856  3.76488425  0.84884317  2.04782647  0.89314764  4.29998333
 -0.85100682  0.34797648 -0.80670235  2.60013334]",[-0.85100682  0.84884317  0.3137441   3.45114016  0.04430447  1.1989833 ]
415,"[ 0.          0.69286608  2.34604531 -1.22349913  0.39091316  1.08377924
  2.73695846 -0.83258598  0.33027502  1.02314111  2.67632033 -0.89322411
  1.6900355   2.38290158  4.03608081  0.46653637]",[ 1.6900355   0.33027502  0.39091316 -1.22349913  2.34604531  0.69286608]
347,"[  0.           0.97489808   4.32296667   1.91110813   0.04199267
   1.01689075   4.36495935   1.9531008    0.05180636   1.02670444
   4.37477303   1.96291449 -23.64995439 -22.67505631 -19.32698771
 -21.73884626]","[-23.64995439   0.05180636   0.04199267   1.91110813   4.32296667
   0.97489808]"
112,"[ 0.          0.2097833   1.9178358   0.2391186   0.4329925   0.64277579
  2.3508283   0.67211109  0.73452279  0.94430609  2.65235859  0.97364138
 -0.87084362 -0.66106032  1.04699218 -0.63172503]",[-0.87084362  0.73452279  0.4329925   0.2391186   1.9178358   0.2097833 ]
665,"[ 0.          1.41118743  0.04529402  1.72370595 -7.83203828 -6.42085085
 -7.78674426 -6.10833233  3.90393544  5.31512287  3.94922945  5.62764139
  7.52373184  8.93491927  7.56902586  9.24743779]",[ 7.52373184  3.90393544 -7.83203828  1.72370595  0.04529402  1.41118743]
934,"[0.00000000e+00 7.62429222e-01 9.94565104e-01 5.51936518e+01
 4.30754887e+00 5.06997810e+00 5.30211398e+00 5.95012007e+01
 9.41594467e-02 8.56588669e-01 1.08872455e+00 5.52878113e+01
 2.17044528e+02 2.17806958e+02 2.18039093e+02 2.72238180e+02]","[2.17044528e+02 9.41594467e-02 4.30754887e+00 5.51936518e+01
 9.94565104e-01 7.62429222e-01]"
355,"[0.         0.46167112 0.54375458 0.59506995 0.24527079 0.7069419
 0.78902536 0.84034074 0.62758038 1.08925149 1.17133495 1.22265033
 1.69680476 2.15847588 2.24055933 2.29187471]",[1.69680476 0.62758038 0.24527079 0.59506995 0.54375458 0.46167112]
1038,"[0.         0.94101916 0.27348451 1.27123877 0.51245769 1.45347685
 0.7859422  1.78369646 0.42068942 1.36170859 0.69417393 1.6919282
 0.94872703 1.88974619 1.22221154 2.2199658 ]",[0.94872703 0.42068942 0.51245769 1.27123877 0.27348451 0.94101916]
1024,"[ 0.          0.98577217  2.44009224  0.1348208   0.85819074  1.84396291
  3.29828298  0.99301154  0.65485548  1.64062765  3.09494772  0.78967628
 -1.90751302 -0.92174085  0.53257922 -1.77269222]",[-1.90751302  0.65485548  0.85819074  0.1348208   2.44009224  0.98577217]
1014,"[0.00000000e+00 3.59496358e-02 3.20460053e-01 3.69045179e+01
 5.63452046e-01 5.99401682e-01 8.83912099e-01 3.74679700e+01
 4.49885443e+00 4.53480407e+00 4.81931449e+00 4.14033724e+01
 1.17949301e+02 1.17985250e+02 1.18269761e+02 1.54853819e+02]","[1.17949301e+02 4.49885443e+00 5.63452046e-01 3.69045179e+01
 3.20460053e-01 3.59496358e-02]"
263,"[0.         0.10510903 0.31787447 0.65692956 0.02915091 0.13425994
 0.34702538 0.68608047 1.52906352 1.63417255 1.84693799 2.18599308
 0.96045648 1.0655655  1.27833094 1.61738604]",[0.96045648 1.52906352 0.02915091 0.65692956 0.31787447 0.10510903]
741,"[ 0.          1.57295181  0.29660827  0.74519246  0.30802067  1.88097248
  0.60462894  1.05321312  0.86322803  2.43617985  1.15983631  1.60842049
 -0.8595042   0.71344761 -0.56289593 -0.11431175]",[-0.8595042   0.86322803  0.30802067  0.74519246  0.29660827  1.57295181]
