screen_name,r,w
296,"[ 0.          0.96420481  0.93826719 16.87468332 -1.3730999  -0.4088951
 -0.43483271 15.50158342  2.03794903  3.00215384  2.97621622 18.91263235
  0.34658933  1.31079413  1.28485652 17.22127265]",[ 0.34658933  2.03794903 -1.3730999  16.87468332  0.93826719  0.96420481]
710,"[0.         0.67359202 0.18551894 1.57326258 0.60009143 1.27368345
 0.78561037 2.17335401 0.75683659 1.43042861 0.94235553 2.33009917
 3.87943851 4.55303053 4.06495745 5.4527011 ]",[3.87943851 0.75683659 0.60009143 1.57326258 0.18551894 0.67359202]
969,"[0.         0.2370047  0.58555433 3.30983288 2.97377528 3.21077999
 3.55932961 6.28360816 0.84187352 1.07887823 1.42742785 4.15170641
 3.19673594 3.43374065 3.78229027 6.50656882]",[3.19673594 0.84187352 2.97377528 3.30983288 0.58555433 0.2370047 ]
195,"[ 0.          0.8342755   4.62456347 -3.54552195  0.34678903  1.18106453
  4.9713525  -3.19873292  0.34850056  1.18277606  4.97306403 -3.19702139
  3.65265821  4.48693371  8.27722168  0.10713626]",[ 3.65265821  0.34850056  0.34678903 -3.54552195  4.62456347  0.8342755 ]
123,"[ 0.          0.57934374  0.53170995 22.79874076 45.54806109 46.12740483
 46.07977104 68.34680185 13.82295534 14.40229907 14.35466528 36.6216961
 32.21583864 32.79518238 32.74754859 55.0145794 ]",[32.21583864 13.82295534 45.54806109 22.79874076  0.53170995  0.57934374]
915,"[ 0.          0.0850981   0.34187358  6.75217434  0.63425434  0.71935244
  0.97612792  7.38642868  0.77257089  0.857669    1.11444447  7.52474523
 -1.51983863 -1.43474053 -1.17796505  5.23233571]",[-1.51983863  0.77257089  0.63425434  6.75217434  0.34187358  0.0850981 ]
334,"[ 0.          0.66616002  0.82488643  0.93609381  1.39122561  2.05738563
  2.21611204  2.32731942  0.79921958  1.4653796   1.62410601  1.73531339
 18.05898856 18.72514857 18.88387498 18.99508236]",[18.05898856  0.79921958  1.39122561  0.93609381  0.82488643  0.66616002]
996,"[ 0.          0.3179867   1.115724   -0.0523232   0.62023459  0.93822129
  1.73595859  0.56791139  0.49715171  0.8151384   1.6128757   0.4448285
  1.12786331  1.44585001  2.24358731  1.07554011]",[ 1.12786331  0.49715171  0.62023459 -0.0523232   1.115724    0.3179867 ]
77,"[ 0.          0.4934337   1.74513152  0.17806109  0.15013436  0.64356806
  1.89526588  0.32819544  0.89707122  1.39050492  2.64220274  1.07513231
 -1.80480973 -1.31137603 -0.05967821 -1.62674864]",[-1.80480973  0.89707122  0.15013436  0.17806109  1.74513152  0.4934337 ]
319,"[ 0.          1.08352387  0.90741518  0.74097516  5.50774019  6.59126406
  6.41515537  6.24871535 -4.99389351 -3.91036964 -4.08647833 -4.25291836
  0.3241784   1.40770227  1.23159358  1.06515355]",[ 0.3241784  -4.99389351  5.50774019  0.74097516  0.90741518  1.08352387]
835,"[ 0.          0.08464411  0.10182837  1.41666934  0.25951012  0.34415423
  0.3613385   1.67617946 -5.16389573 -5.07925162 -5.06206736 -3.74722639
  5.50699454  5.59163865  5.60882291  6.92366388]",[ 5.50699454 -5.16389573  0.25951012  1.41666934  0.10182837  0.08464411]
307,"[ 0.          0.7772306   0.60859261  0.41992776  0.04341869  0.82064929
  0.65201129  0.46334645  8.61776235  9.39499295  9.22635496  9.03769011
 -0.16271735  0.61451325  0.44587525  0.25721041]",[-0.16271735  8.61776235  0.04341869  0.41992776  0.60859261  0.7772306 ]
494,"[  0.           0.83036814  21.79189935   3.71092149 -21.45018607
 -20.61981793   0.34171328 -17.73926458   6.57507022   7.40543835
  28.36696957  10.28599171  15.85028132  16.68064946  37.64218067
  19.56120281]","[ 15.85028132   6.57507022 -21.45018607   3.71092149  21.79189935
   0.83036814]"
945,"[0.         0.58884173 0.95030106 1.07426562 0.40433537 0.99317711
 1.35463643 1.478601   0.78905837 1.3779001  1.73935943 1.86332399
 6.13614747 6.7249892  7.08644853 7.21041309]",[6.13614747 0.78905837 0.40433537 1.07426562 0.95030106 0.58884173]
94,"[0.         0.55590408 0.6803164  5.195694   0.99282464 1.54872873
 1.67314104 6.18851864 0.41301325 0.96891733 1.09332965 5.60870725
 0.34098181 0.89688589 1.0212982  5.53667581]",[0.34098181 0.41301325 0.99282464 5.195694   0.6803164  0.55590408]
738,"[0.         0.26436828 0.01078527 1.17117048 1.72027374 1.98464203
 1.73105901 2.89144423 3.49151575 3.75588404 3.50230102 4.66268624
 1.27106097 1.53542926 1.28184624 2.44223146]",[1.27106097 3.49151575 1.72027374 1.17117048 0.01078527 0.26436828]
7,"[  0.           0.25821916   0.23504576  11.60608823   7.93943462
   8.19765378   8.17448038  19.54552285   0.40679157   0.66501073
   0.64183732  12.01287979 220.36654191 220.62476107 220.60158767
 231.97263014]","[220.36654191   0.40679157   7.93943462  11.60608823   0.23504576
   0.25821916]"
908,"[0.         0.084637   1.12101995 1.61035877 2.08038844 2.16502544
 3.20140838 3.6907472  0.45794705 0.54258406 1.578967   2.06830582
 3.38184003 3.46647703 4.50285998 4.9921988 ]",[3.38184003 0.45794705 2.08038844 1.61035877 1.12101995 0.084637  ]
540,"[ 0.          0.24454635  0.27043758 -0.14989658  0.08942474  0.3339711
  0.35986232 -0.06047184  1.2668546   1.51140095  1.53729218  1.11695802
  1.95960433  2.20415068  2.23004191  1.80970775]",[ 1.95960433  1.2668546   0.08942474 -0.14989658  0.27043758  0.24454635]
1052,"[0.         0.29224376 0.51281949 3.86776572 0.9706022  1.26284596
 1.4834217  4.83836793 0.89728449 1.18952825 1.41010398 4.76505021
 1.76995183 2.06219558 2.28277132 5.63771755]",[1.76995183 0.89728449 0.9706022  3.86776572 0.51281949 0.29224376]
